2026-09-09,7:00 PM,,Joe Williams Scholarship Quintet,,,,,Clark County Library Flamingo Road,,Free,,Confirmed,,
2026-09-13,3:00 PM,,Jazz Ensemble I,Latin Jazz Ensemble,Joe Williams Scholarship Quintet,,Album Release Concert,Artemus W. Ham Hall,,Tickets required — UNLV students free,,Confirmed,,
2026-10-04,2:00 PM,,Joe Williams Scholarship Quintet,Studio Scarlet Jazz Vocal Ensemble,,,,Clark County Library Flamingo Road,,Free,,Confirmed,,
2026-10-14,7:00 PM,,Jazz Ensemble II,Maryland Parkway Jazz Vocal Ensemble,,,,Clark County Library Flamingo Road,,Free,,Confirmed,,
2026-11-01,3:00 PM,,Jazz Ensemble I,Joe Williams Scholarship Quintet,,,Joe Williams Scholarship Concert,Artemus W. Ham Hall,,Tickets required — UNLV students free,,Confirmed,,
2026-11-04,7:00 PM,,Contemporary Jazz Ensemble,,,,,Clark County Library Flamingo Road,,Free,,Confirmed,,
2026-11-17,7:00 PM,,Studio Scarlet Jazz Vocal Ensemble,Maryland Parkway Jazz Vocal Ensemble,,,Vocal Jazz Night,Dr. Arturo Rando-Grillot Hall,,Free,,Confirmed,,
2026-11-30,7:30 PM,,Jazz Combos,,,,Fall Jazz Festival: Jazz Combo Night,Paul Harris Theater,,Free,,Confirmed,,
2026-12-01,7:30 PM,,Jazz Ensemble I,Latin Jazz Ensemble,,,Fall Jazz Festival: Night 2,Artemus W. Ham Hall,,Tickets required — UNLV students free,,Confirmed,,
2026-12-02,7:30 PM,,Jazz Ensemble II,Contemporary Jazz Ensemble,,,Fall Jazz Festival: Night 3,Artemus W. Ham Hall,,Tickets required — UNLV students free,,Confirmed,,
